,treatment,location,session,futuretense,mandarin,id,participant,period,a,b,c,d,interestrate,lowerbound,upperbound,randomperiod,finalprofit,client,gender,race,econ,course,female,chinese,econmajor,immi,identity,r1,l1,otherlanguage,whichlanguage,engcountry,pro1,pro2,often1,often2,chineseismainlanguage0english1ma
0,CN,1,160315_1339,0,1,1,1,1,8,0,8,7,0.06632853,0.058750454,0.06632853,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
1,CN,1,160315_1339,0,1,1,1,2,2,0,2,6,0.23500182,0.20273255,0.23500182,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
2,CN,1,160315_1339,0,1,1,1,3,4,4,8,9,0.16046347,0.14694667,0.16046347,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
3,CN,1,160315_1339,0,1,1,1,4,1,4,5,8,0.5877867,0.53062826,0.5877867,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
4,CN,1,160315_1339,0,1,1,1,5,2,4,6,6,0.23500182,0.20273255,0.23500182,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
5,CN,1,160315_1339,0,1,1,1,6,4,0,4,4,0.08411806,0.06559107,0.08411806,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
6,CN,1,160315_1339,0,1,1,1,7,1,0,1,9,0.64185387,0.5877867,0.64185387,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
7,CN,1,160315_1339,0,1,1,1,8,8,4,12,9,0.08023173,0.073473334,0.08023173,2,10,HSSWKCAT01,Male,Chinese;,Yes,1,0,1,1,Singapore Citizen,Singaporean Chinese,,English,,,,8.0,10.0,10.0,8.0,0.0
8,CN,1,160315_1339,0,1,2,2,1,2,4,6,9,0.32092693,0.29389334,0.32092693,6,10,HSSWKCAT02,Male,Chinese;,No,4,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,9.0,10.0,5.0,8.0,1.0
9,CN,1,160315_1339,0,1,2,2,2,8,4,12,9,0.08023173,0.073473334,0.08023173,6,10,HSSWKCAT02,Male,Chinese;,No,4,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,9.0,10.0,5.0,8.0,1.0
10,CN,1,160315_1339,0,1,2,2,3,1,4,5,9,0.64185387,0.5877867,0.64185387,6,10,HSSWKCAT02,Male,Chinese;,No,4,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,9.0,10.0,5.0,8.0,1.0
