,Treatment,Location,SessionID,FutureTense,Mandarin,ID,Participant,Period,a,b,c,d,interestrate,lowerbound,upperbound,FinalProfit,client,Gender,Taiwan,Econ,Course,Female,Econmajor,laugnauge,otherLanguage,WhichLanguage,EngCountry,WhichCountry,Purpose,AE,AF,chineseismainlanguage0english1ma
0,CN,0,160517_1320,0,1,1,1,8,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
1,CN,0,160517_1320,0,1,1,1,7,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
2,CN,0,160517_1320,0,1,1,1,6,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
3,CN,0,160517_1320,0,1,1,1,5,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
4,CN,0,160517_1320,0,1,1,1,4,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
5,CN,0,160517_1320,0,1,1,1,3,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
6,CN,0,160517_1320,0,1,1,1,2,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
7,CN,0,160517_1320,0,1,1,1,1,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,16,1,Female,台灣本地生,是,1,1,1,中文,否,,否,,,,,1.0
8,CN,0,160517_1320,0,1,2,2,8,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
9,CN,0,160517_1320,0,1,2,2,7,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
10,CN,0,160517_1320,0,1,2,2,6,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
11,CN,0,160517_1320,0,1,2,2,5,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
12,CN,0,160517_1320,0,1,2,2,4,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
13,CN,0,160517_1320,0,1,2,2,3,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
14,CN,0,160517_1320,0,1,2,2,2,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
15,CN,0,160517_1320,0,1,2,2,1,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,12,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
16,CN,0,160517_1320,0,1,3,3,8,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
17,CN,0,160517_1320,0,1,3,3,7,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
18,CN,0,160517_1320,0,1,3,3,6,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
19,CN,0,160517_1320,0,1,3,3,5,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
20,CN,0,160517_1320,0,1,3,3,4,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
21,CN,0,160517_1320,0,1,3,3,3,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
22,CN,0,160517_1320,0,1,3,3,2,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
23,CN,0,160517_1320,0,1,3,3,1,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,19,3,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
24,CN,0,160517_1320,0,1,4,4,8,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
25,CN,0,160517_1320,0,1,4,4,7,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
26,CN,0,160517_1320,0,1,4,4,6,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
27,CN,0,160517_1320,0,1,4,4,5,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
28,CN,0,160517_1320,0,1,4,4,4,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
29,CN,0,160517_1320,0,1,4,4,3,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
30,CN,0,160517_1320,0,1,4,4,2,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
31,CN,0,160517_1320,0,1,4,4,1,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,14,4,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
32,CN,0,160517_1320,0,1,5,5,8,8,4,12,10,0.08664339756999316,0.08023173577154934,0.08664339756999316,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
33,CN,0,160517_1320,0,1,5,5,7,4,4,8,9,0.16046347154309867,0.14694666622552977,0.16046347154309867,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
34,CN,0,160517_1320,0,1,5,5,6,1,0,1,3,0.26236426446749106,0.1823215567939546,0.26236426446749106,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
35,CN,0,160517_1320,0,1,5,5,5,4,0,4,7,0.1326570627655426,0.11750090731143391,0.1326570627655426,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
36,CN,0,160517_1320,0,1,5,5,4,8,0,8,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
37,CN,0,160517_1320,0,1,5,5,3,1,4,5,6,0.47000362924573563,0.4054651081081644,0.47000362924573563,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
38,CN,0,160517_1320,0,1,5,5,2,2,0,2,5,0.2027325540540822,0.16823611831060645,0.2027325540540822,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
39,CN,0,160517_1320,0,1,5,5,1,2,4,6,9,0.32092694308619735,0.29389333245105953,0.32092694308619735,10,5,Male,台灣本地生,是,3,0,1,中文,否,,否,,,,,1.0
40,CN,0,160517_1320,0,1,6,6,8,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
41,CN,0,160517_1320,0,1,6,6,7,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
42,CN,0,160517_1320,0,1,6,6,6,4,0,4,2,0.04558038919848865,0.023827544951081234,0.04558038919848865,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
43,CN,0,160517_1320,0,1,6,6,5,1,0,1,2,0.1823215567939546,0.09531017980432493,0.1823215567939546,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
44,CN,0,160517_1320,0,1,6,6,4,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
45,CN,0,160517_1320,0,1,6,6,3,2,4,6,3,0.13118213223374553,0.0911607783969773,0.13118213223374553,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
46,CN,0,160517_1320,0,1,6,6,2,8,4,12,2,0.022790194599244324,0.011913772475540617,0.022790194599244324,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
47,CN,0,160517_1320,0,1,6,6,1,8,0,8,5,0.05068313851352055,0.04205902957765161,0.05068313851352055,18,6,Female,台灣本地生,否,4,1,0,中文,是,英文,否,,,,,1.0
